tconst	ordering	nconst	category	job	characters
tt0088527	9	nm0000138	actor	\N	["Luke Brower"]
tt0098887	9	nm0000138	actor	\N	["Garry Buckman"]
tt0108330	2	nm0000138	actor	\N	["Toby"]
tt0108550	2	nm0000138	actor	\N	["Arnie Grape"]
tt0109820	1	nm0000138	actor	\N	["Bud"]
tt0112461	1	nm0000138	actor	\N	["Jim Carroll"]
tt0114214	4	nm0000138	actor	\N	["Kid"]
tt0114702	1	nm0000138	actor	\N	["Arthur Rimbaud"]
tt0116999	2	nm0000138	actor	\N	["Hank"]
tt0119004	4	nm0000138	actor	\N	["Derek"]
tt0120338	1	nm0000138	actor	\N	["Jack Dawson"]
tt0120533	3	nm0000138	actor	\N	["Brandon Darrow"]
tt0120744	1	nm0000138	actor	\N	["King Louis","Phillippe"]
tt0163978	1	nm0000138	actor	\N	["Richard"]
tt0217505	1	nm0000138	actor	\N	["Amsterdam Vallon"]
tt0264464	1	nm0000138	actor	\N	["Frank Abagnale Jr."]
tt0338751	1	nm0000138	actor	\N	["Howard Hughes"]
tt0407887	1	nm0000138	actor	\N	["Billy"]
tt0450259	1	nm0000138	actor	\N	["Danny Archer"]
tt0758774	1	nm0000138	actor	\N	["Roger Ferris"]
tt0959337	1	nm0000138	actor	\N	["Frank Wheeler"]
tt0993846	1	nm0000138	actor	\N	["Jordan Belfort"]
tt10257288	1	nm0000138	actor	\N	["Alex"]
tt11286314	1	nm0000138	actor	\N	["Dr. Randall Mindy"]
tt1343092	1	nm0000138	actor	\N	["Jay Gatsby"]
