tconst	averageRating	numVotes
tt0088527	6.6	15251
tt0098887	5.7	368
tt0108330	7.3	53652
tt0108550	7.7	238567
tt0109820	5.0	551
tt0112461	7.3	112431
tt0114214	6.5	95330
tt0114702	6.5	15869
tt0116999	6.7	28404
tt0117509	6.7	230433
tt0119004	5.6	4507
tt0120338	7.9	1167915
tt0120533	6.3	27219
tt0120744	6.5	168738
tt0163978	6.6	240554
tt0217505	7.5	442885
tt0264464	8.1	976860
tt0338751	7.5	362556
tt0407887	8.5	1319481
tt0450259	8.0	550173
tt0758774	7.0	229939
tt0959337	7.3	214385
tt0993846	8.2	1398428
tt10257288	5.9	36
tt11286314	7.2	533087
tt1130884	8.2	1305938
tt1343092	7.2	545036
tt1375666	8.8	2337470
tt1433813	7.6	4411
tt15739482	8.6	383
tt1616195	6.5	129360
tt1663202	8.0	801554
tt1790736	7.5	3167
tt1853728	8.4	1544109
tt3633472	6.7	171
tt4007278	7.4	14
tt4016250	6.6	3660
tt7131622	7.6	730718
tt8654714	7.1	15
tt9114472	7.4	1587
